04/17/22 20:52:35,Fox,Debugging,1208,1208
04/17/22 20:55:13,Fox,Debugging,158,158
04/23/22 10:47:03,Fox,Combat resolution,872,872
04/23/22 13:35:47,Fox,Combat resolution,1211,0
04/23/22 13:38:09,Fox,Combat resolution,142,0
04/23/22 13:58:26,Fox,Combat resolution,1217,1217
04/23/22 14:18:31,Fox,Combat resolution,1205,1205
04/23/22 14:31:38,Fox,Combat resolution,787,787
04/23/22 14:54:52,Fox,Combat resolution,1211,1211
04/23/22 15:14:57,Fox,Combat resolution,1205,1205
04/23/22 15:35:01,Fox,Combat resolution,1205,1205
04/25/22 19:53:23,Fox,Combat resolution,1206,1206
